 model_row            width        mean_elev            maxWT         mean_rch       max_WT_loc   west_index   east_index
       168         500.0000           1.0450           0.4576           0.4298         200.0000          172          181
       169         500.0000           0.8773           0.4542           0.4217         150.0000          172          181
       170         500.0000           0.7928           0.4522           0.4164         150.0000          172          181
       171         550.0000           0.7308           0.4493           0.4080         150.0000          171          181
       172         600.0000           0.7571           0.4452           0.3996         150.0000          170          181
       173         550.0000           1.0450           0.4419           0.4081         150.0000          171          181
       174         550.0000           0.8976           0.4397           0.4047         150.0000          171          181
       175         550.0000           0.8811           0.4392           0.4014         100.0000          171          181
       176         600.0000           0.6475           0.4428           0.4009         150.0000          171          182
       177         550.0000           0.7354           0.4417           0.4057         150.0000          172          182
       178         550.0000           0.8314           0.4399           0.4010         150.0000          172          182
       179         550.0000           1.0008           0.4385           0.4002         100.0000          172          182
       180         500.0000           1.0151           0.4379           0.4055         100.0000          173          182
       181         500.0000           0.8262           0.4366           0.4003         100.0000          173          182
       182         450.0000           0.9895           0.4314           0.4007         100.0000          174          182
       183         400.0000           1.1053           0.4280           0.4044         100.0000          175          182
       184         450.0000           0.9528           0.4318           0.4090         150.0000          175          183
       185         450.0000           0.8116           0.4366           0.4063         100.0000          175          183
       186         450.0000           0.8685           0.4373           0.4060         100.0000          175          183
       187         450.0000           1.0763           0.4358           0.4084         100.0000          175          183
       188         450.0000           1.2775           0.4318           0.4076         100.0000          175          183
       189         500.0000           1.0613           0.4323           0.3990         100.0000          174          183
       190         500.0000           0.8830           0.4314           0.3920         100.0000          174          183
       191         500.0000           0.8536           0.4354           0.4020         150.0000          175          184
       192         500.0000           0.8208           0.4381           0.4031         100.0000          175          184
       193         600.0000           0.7020           0.4402           0.3887         100.0000          173          184
       194         650.0000           0.7208           0.4404           0.3868         150.0000          172          184
       195         650.0000           0.8283           0.4393           0.3877         100.0000          172          184
       196         700.0000           0.6967           0.4386           0.3804         100.0000          171          184
       197         650.0000           0.6893           0.4379           0.3818         100.0000          172          184
       198         450.0000           1.0359           0.4380           0.4114         100.0000          176          184
       199         500.0000           0.9152           0.4415           0.4105         150.0000          176          185
       200         500.0000           0.9099           0.4440           0.4124         150.0000          176          185
       201         500.0000           1.0164           0.4449           0.4169         150.0000          176          185
       202         550.0000           0.8329           0.4432           0.4105         150.0000          175          185
       203         550.0000           0.8797           0.4410           0.4101         100.0000          175          185
       204         600.0000           1.0312           0.4353           0.3995         100.0000          174          185
       205         600.0000           1.1197           0.4361           0.3960         150.0000          174          185
       206         600.0000           1.0644           0.4398           0.3969         100.0000          174          185
       207         650.0000           0.8248           0.4508           0.4059         150.0000          174          186
       208         700.0000           0.9246           0.4550           0.4055         150.0000          173          186
       209         700.0000           0.9808           0.4562           0.4047         150.0000          173          186
       210         700.0000           1.0712           0.4550           0.3961         150.0000          173          186
       211         700.0000           1.0478           0.4525           0.3921         200.0000          173          186
       212         700.0000           1.0876           0.4502           0.3900         150.0000          173          186
       213         700.0000           0.8799           0.4492           0.3903         150.0000          173          186
       214         750.0000           0.7613           0.4531           0.3895         150.0000          173          187
       215         750.0000           0.6884           0.4569           0.3905         150.0000          173          187
       216        1200.0000           0.6930           0.4595           0.3671         150.0000          164          187
       217        1100.0000           0.8129           0.4629           0.3754         150.0000          166          187
       218        1050.0000           0.7941           0.4656           0.3774         150.0000          167          187
       219         800.0000           0.9599           0.4664           0.3951         150.0000          172          187
       220         800.0000           0.9312           0.4659           0.3918         200.0000          172          187
       221         800.0000           1.0001           0.4649           0.3890         200.0000          172          187
       222         850.0000           0.8895           0.4636           0.3904         250.0000          172          188
       223         900.0000           0.7445           0.4613           0.3859         250.0000          171          188
       224         950.0000           0.9200           0.4595           0.3810         200.0000          170          188
       225        1000.0000           0.8757           0.4585           0.3744         200.0000          169          188
       226         900.0000           0.9028           0.4569           0.3764         150.0000          171          188
       227         850.0000           0.8716           0.4548           0.3792         150.0000          172          188
       228         800.0000           0.8766           0.4512           0.3809         150.0000          173          188
       229         850.0000           0.7331           0.4468           0.3783         250.0000          173          189
       230        1100.0000           0.7027           0.4459           0.3565         150.0000          168          189
       231        1100.0000           0.5989           0.4477           0.3420         150.0000          168          189
       232        1050.0000           0.6353           0.4485           0.3370         150.0000          169          189
       233        1050.0000           0.5927           0.4506           0.3348         150.0000          169          189
       234        1000.0000           0.6204           0.4543           0.3428         150.0000          170          189
       235        1000.0000           0.7448           0.4571           0.3379         150.0000          170          189
       236        1050.0000           0.5663           0.4591           0.3413         200.0000          170          190
       237        1050.0000           0.5787           0.4593           0.3474         200.0000          170          190
       238        1050.0000           0.6941           0.4582           0.3552         200.0000          170          190
       239         700.0000           0.9200           0.4569           0.3877         150.0000          177          190
       240         750.0000           0.9019           0.4574           0.3830         150.0000          176          190
       241         850.0000           0.7870           0.4581           0.3751         150.0000          174          190
       242         700.0000           0.8794           0.4597           0.3887         150.0000          177          190
       243         900.0000           0.6223           0.4642           0.3745         200.0000          174          191
       244        1000.0000           0.6323           0.4651           0.3680         200.0000          172          191
       245        1050.0000           0.6455           0.4640           0.3701         200.0000          171          191
       246         650.0000           0.9198           0.4640           0.4132         150.0000          179          191
       247         750.0000           0.7938           0.4654           0.4005         150.0000          177          191
